time.hours,oxygen
3.672,-1.06
3.672,-1.01
3.672,-0.947
3.672,-0.999
3.696,-1.03
3.696,-0.915
3.696,-0.984
3.696,-0.926
3.696,-1.07
3.696,-0.954
3.696,-0.954
3.696,-0.954
3.696,-0.924
3.72,-1.05
3.72,-0.995
3.72,-1.08
3.72,-0.958
3.72,-0.947
3.72,-0.93
3.72,-0.982
3.72,-0.969
3.744,-0.939
3.744,-0.88
3.744,-1.01
3.744,-1.1
3.744,-1.01
3.744,-0.982
3.744,-1.01
3.744,-0.995
3.744,-0.973
3.768,-0.967
3.768,-0.989
3.768,-0.976
3.768,-1.07
3.768,-1.03
3.768,-1.04
3.768,-1.03
3.768,-1.03
3.768,-0.993
3.792,-0.967
3.792,-1.06
3.792,-1.02
3.792,-1.05
3.792,-1.02
3.792,-0.991
3.792,-0.967
3.792,-1.01
3.816,-0.988
3.816,-0.98
3.816,-0.973
3.816,-1.01
3.816,-1.02
3.816,-1.04
3.816,-1.08
3.816,-1.01
3.816,-1.04
3.84,-0.982
3.84,-0.999
3.84,-0.995
3.84,-0.926
3.84,-1.02
3.84,-1
3.84,-0.958
3.84,-1.01
3.864,-0.993
3.864,-1.02
3.864,-0.98
3.864,-1.04
3.864,-0.954
3.864,-1
3.864,-0.984
3.864,-1.05
3.864,-0.989
3.888,-1.05
3.888,-0.956
3.888,-0.999
3.888,-0.934
3.888,-0.965
3.888,-1.03
3.888,-0.9
3.888,-0.991
3.888,-0.952
3.912,-0.995
3.912,-0.945
3.912,-0.986
3.912,-0.956
3.912,-1.01
3.912,-0.997
3.912,-0.952
3.912,-1.05
3.912,-1
3.936,-1
3.936,-0.986
3.936,-0.98
3.936,-1.01
3.936,-1.05
3.936,-0.986
3.936,-1.02
3.936,-0.995
3.96,-0.967
3.96,-0.943
3.96,-1.01
3.96,-1
3.96,-1.08
3.96,-1.03
3.96,-1.01
3.96,-0.98
3.96,-1.01
3.984,-0.999
3.984,-0.995
3.984,-0.989
3.984,-0.98
3.984,-1.02
3.984,-1.05
3.984,-0.989
3.984,-1.04
4.008,-1.04
4.008,-1.03
4.008,-0.954
4.008,-0.986
4.008,-1.02
4.008,-1.05
4.008,-0.965
4.008,-0.995
4.008,-1.01
4.032,-0.989
4.032,-0.997
4.032,-0.969
4.032,-1.05
4.032,-0.967
4.032,-1.01
4.032,-0.991
4.032,-1.03
4.032,-1.03
4.056,-0.991
4.056,-0.965
4.056,-1.04
4.056,-0.973
4.056,-0.902
4.056,-1.02
4.056,-0.967
4.056,-1.03
4.08,-0.923
4.08,-1.03
4.08,-1.01
4.08,-1.04
4.08,-1.03
4.08,-0.989
4.08,-1.03
4.08,-0.924
4.08,-0.995
4.104,-0.96
4.104,-1.04
4.104,-1.03
4.104,-0.982
4.104,-1.02
4.104,-1.05
4.104,-0.984
4.104,-1.02
4.104,-1.02
4.128,-1.03
4.128,-1.05
4.128,-1.01
4.128,-0.984
4.128,-0.999
4.128,-1
4.128,-0.991
4.128,-0.932
4.152,-1.01
4.152,-0.997
4.152,-1.05
4.152,-1.08
4.152,-0.991
4.152,-0.93
4.152,-0.986
4.152,-0.991
4.152,-0.952
4.176,-0.932
4.176,-0.96
4.176,-1.05
4.176,-1.03
4.176,-1.01
4.176,-1.07
4.176,-1.07
4.176,-1.03
4.2,-0.971
4.2,-0.958
4.2,-0.93
4.2,-0.95
4.2,-0.982
4.2,-1.05
4.2,-1
4.2,-0.943
4.2,-0.932
4.224,-1.03
4.224,-0.995
4.224,-1.01
4.224,-0.989
4.224,-0.984
4.224,-0.93
4.224,-1.01
4.224,-0.98
4.224,-1.11
4.248,-0.956
4.248,-1.01
4.248,-1.02
4.248,-1.11
4.248,-0.945
4.248,-1.01
4.248,-1
4.248,-1.08
4.272,-0.95
4.272,-0.973
4.272,-0.926
4.272,-1.03
4.272,-0.991
4.272,-1.04
4.272,-0.993
4.272,-1
4.272,-1.03
4.296,-1
4.296,-0.997
4.296,-0.945
4.296,-0.913
4.296,-1.01
4.296,-0.984
4.296,-1.08
4.296,-1.01
4.296,-0.986
4.32,-0.945
4.32,-0.999
4.32,-1.02
4.32,-1.01
4.32,-0.971
4.32,-0.939
4.32,-0.999
4.32,-1.02
4.344,-0.965
4.344,-0.978
4.344,-0.941
4.344,-0.995
4.344,-0.934
4.344,-0.965
4.344,-0.984
4.344,-1.03
4.344,-1.06
4.368,-1.07
4.368,-0.943
4.368,-0.984
4.368,-1.16
4.368,-1.01
4.368,-0.947
4.368,-1.07
4.368,-0.997
4.368,-1.03
4.392,-1
4.392,-1.01
4.392,-1.07
4.392,-1.06
4.392,-0.984
4.392,-0.988
4.392,-0.984
4.392,-1.01
4.416,-1.04
4.416,-0.941
4.416,-1.02
4.416,-1.01
4.416,-0.993
4.416,-0.986
4.416,-1.03
4.416,-0.943
4.416,-1.07
4.44,-1.13
4.44,-0.945
4.44,-0.995
4.44,-1.01
4.44,-1.02
4.44,-0.991
4.44,-1.01
4.44,-0.952
4.44,-1.02
4.464,-0.982
4.464,-1.01
4.464,-1.01
4.464,-0.997
4.464,-0.991
4.464,-1.05
4.464,-1.03
4.464,-1.01
4.488,-0.986
4.488,-0.997
4.488,-1.01
4.488,-1.08
4.488,-1.03
4.488,-1.03
4.488,-1.04
4.488,-0.975
4.488,-1.02
4.512,-0.98
4.512,-1.01
4.512,-0.969
4.512,-1.01
4.512,-0.975
4.512,-0.999
4.512,-1.01
4.512,-0.991
4.512,-1.05
4.536,-1.02
4.536,-0.96
4.536,-0.991
4.536,-1
4.536,-1.06
4.536,-0.93
4.536,-1.04
4.536,-1.02
4.56,-0.973
4.56,-1.02
4.56,-1.02
4.56,-0.941
4.56,-0.952
4.56,-1.02
4.56,-0.978
4.56,-1.01
4.56,-1.03
4.584,-0.975
4.584,-0.98
4.584,-0.98
4.584,-1.04
4.584,-0.982
4.584,-1.04
4.584,-1.01
4.584,-0.997
4.608,-0.932
4.608,-1.01
4.608,-0.986
4.608,-0.93
4.608,-0.993
4.608,-0.956
4.608,-1.04
4.608,-0.997
4.608,-0.993
4.632,-0.941
4.632,-0.947
4.632,-0.967
